id;data;data_content_type;endpoint
1;../fake-data/blob/hipster.png;image/png;Specialist Home Loan Account
2;../fake-data/blob/hipster.png;image/png;Plastic
3;../fake-data/blob/hipster.png;image/png;Car Industrial deliverables
4;../fake-data/blob/hipster.png;image/png;orange Books
5;../fake-data/blob/hipster.png;image/png;magenta monitor 1080p
6;../fake-data/blob/hipster.png;image/png;Unbranded Plastic Tuna Frozen
7;../fake-data/blob/hipster.png;image/png;generating Highway Ergonomic
8;../fake-data/blob/hipster.png;image/png;moratorium moratorium
9;../fake-data/blob/hipster.png;image/png;New York tangible Mississippi
10;../fake-data/blob/hipster.png;image/png;Frozen bus
