id;created;updated;state;delivery_type;include_batteries;description;delivery_price;payment_type;product_id
1;2019-11-11T03:03:50;2019-11-11T08:54:26;NEW;DELIVERED;true;payment calculating;65761;CASH;1
2;2019-11-11T07:27:28;2019-11-11T10:50:39;DONE;PICKUP;false;payment Libyan Dinar;86416;CASH;2
3;2019-11-11T12:55:51;2019-11-11T05:56:28;NEW;DELIVERED;true;Human;37015;TRANSFER;3
4;2019-11-11T05:56:04;2019-11-10T20:32:33;DONE;DELIVERED;false;matrix calculating;93001;CASH;4
5;2019-11-11T16:18:26;2019-11-11T13:34:10;DONE;DELIVERED;true;open-source HDD;91324;TRANSFER;5
6;2019-11-11T04:36:00;2019-11-11T00:30:37;CANCELLED;DELIVERED;false;California interfaces;67202;CASH;6
7;2019-11-11T06:38:45;2019-11-10T20:06:19;DONE;DELIVERED;true;back-end;12706;TRANSFER;7
8;2019-11-11T13:09:08;2019-11-11T14:29:22;CANCELLED;PICKUP;true;Licensed Cotton Ball;43352;CASH;8
9;2019-11-10T20:33:57;2019-11-11T17:43:42;PAYED;DELIVERED;true;invoice;27993;TRANSFER;9
10;2019-11-11T09:12:47;2019-11-11T04:59:17;DONE;DELIVERED;false;Small;31141;TRANSFER;10
