id;name;price;description;is_active;number_of_batteries
1;mobile Fish;77969;Savings Account Dam;false;0
2;FTP Savings Account;70807;Movies Producer;true;10
3;Electronics;99221;Money Market Account;true;5
4;web-readiness;29122;Investment Account Steel;false;10
5;Multi-channelled Licensed;61838;syndicate;true;6
6;Refined Rubber Chicken Table;6505;Factors;true;6
7;envisioneer Music Public-key;24102;Bahamian Dollar Investment Account;true;0
8;Regional;25877;invoice;false;4
9;sky blue Georgia;3131;synthesizing Views e-enable;true;6
10;National Awesome sky blue;4522;software scale interactive;true;6
