id;name;description;needed_materials;included_in_price;duration_in_minutes;price;max_subscriptions;is_active;show_on_homepage
1;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;73507;41794;80348;true;false
2;Table quantify;Wyoming interface Cotton;quantify;JSON Texas;23859;42899;67984;true;true
3;Configurable iterate Liechtenstein;navigating encoding;Fantastic Small Frozen Salad bypassing;time-frame Quality;95060;48252;57343;false;true
4;Common;Money Market Account;Danish Krone parse;neural Wooden Optimization;97424;5755;99593;true;false
5;circuit Guam;Frozen Metal program;SDD bypassing;Algerian Dinar Fantastic Fresh Salad;70624;14660;8134;true;false
6;Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;48166;77714;37798;true;true
7;Triple-buffered array;Bedfordshire Tools;Arizona hack;Fresh payment synthesize;58336;23750;96217;false;false
8;asymmetric EXE;web services;Industrial Designer Incredible Fresh Car;Principal Senior;25299;55385;69541;true;false
9;Tuna magenta;Wells;Naira iterate;Unbranded Plastic Chips Brand Regional;45565;10675;62013;false;false
10;olive;facilitate Persevering;Fantastic;zero defect Ridges Beauty;27976;30952;41120;true;true
